time,concentration,particles03,particles05,particles10,particles25,particles50,particles100,['Time'],['Temperature'],['Gas'],['Relative Humidity'],['Pressure'],['Altitude']
94,0,87,5,0,0,0,0,15:55:48,26.3462109375,153679,27.96807108473343,1002.3024182351692,91.54740994341495
95,0,87,5,0,0,0,0,15:55:49,26.3118359375,152841,28.025270436190528,1002.2913023226538,91.6407755681736
96,0,87,5,0,0,0,0,15:55:50,26.2798046875,153679,28.093587963352984,1002.291089892166,91.64255983878294
97,0,87,5,0,0,0,0,15:55:51,26.2505078125,154527,28.1512373505757,1002.2904308250664,91.64809555298149
98,0,87,5,0,0,0,0,15:55:52,26.217890625,154669,28.181338459135407,1002.2788959298185,91.74498128427108
99,0,87,5,0,0,0,0,15:55:53,26.188984375,154527,28.211744609635392,1002.2840543096166,91.70165408661937
100,0,87,5,0,0,0,0,15:55:54,26.16046875,155816,28.247646992260584,1002.2744262767103,91.78252374999698
101,0,81,1,0,0,0,0,15:55:55,26.1337109375,155671,28.28916041755964,1002.2832784105772,91.70817114679015
102,0,81,1,0,0,0,0,15:55:56,26.106171875,156250,28.330618777534998,1002.2770438152542,91.76053794433811
103,0,81,1,0,0,0,0,15:55:57,26.080390625,155960,28.40502216368924,1002.2755519711245,91.77306856409741
104,0,90,1,0,0,0,0,15:55:58,26.056953125,156105,28.46871319796717,1002.2798124497641,91.73728307079473
105,0,90,1,0,0,0,0,15:55:59,26.035078125,156105,28.54896932835477,1002.2747440253916,91.77985484288263
106,0,90,1,0,0,0,0,15:56:00,26.0176953125,155960,28.62963474549421,1002.2774139925184,91.75742867376437
107,0,90,1,0,0,0,0,15:56:01,26.00421875,156250,28.705186388998538,1002.2747954289516,91.77942308245204
108,0,90,1,0,0,0,0,15:56:02,25.99171875,155671,28.780855909713193,1002.2687084789337,91.83055009682931
109,0,90,1,0,0,0,0,15:56:03,25.979609375,157716,28.85111259060838,1002.2993461121318,91.57321347095979
110,0,90,1,0,0,0,0,15:56:04,25.9645703125,158608,28.91567358476289,1002.3249335164879,91.3583004350359
111,0,90,1,0,0,0,0,15:56:05,25.945625,156395,28.996399708791834,1002.3403538709863,91.22878435507556
112,0,90,1,0,0,0,0,15:56:06,25.9290234375,157273,29.077362021401214,1002.3546608716196,91.10862081477121
113,0,90,1,0,0,0,0,15:56:07,25.9118359375,157126,29.180295167736304,1002.3919883107906,90.79511669083178
114,0,90,1,0,0,0,0,15:56:08,25.889375,156833,29.282856072573253,1002.3996254365524,90.73097548550395
115,0,90,1,0,0,0,0,15:56:09,25.8626171875,157126,29.368616857327567,1002.39127182298,90.80113420949338
116,0,33,1,0,0,0,0,15:56:10,25.8346875,157716,29.454323393021557,1002.3877614812224,90.8306163343813
117,0,33,1,0,0,0,0,15:56:11,25.80421875,157126,29.53435208581722,1002.3850205959133,90.85363612350167
118,0,33,1,0,0,0,0,15:56:12,25.767109375,157864,29.602836919547244,1002.3862756392956,90.84309542293276
119,0,48,6,5,1,0,0,15:56:13,25.7411328125,158012,29.69985223219652,1002.3878368882397,90.82998301650457
120,0,48,6,5,1,0,0,15:56:14,25.7227734375,157568,29.769988862753053,1002.3870804294439,90.83633625824054
121,0,48,6,5,1,0,0,15:56:15,25.707734375,158012,29.84595648685154,1002.3868978293282,90.83786985547535
122,0,48,6,5,1,0,0,15:56:16,25.695234375,157864,29.905612970197147,1002.3859430101637,90.84588906562757
123,0,48,6,5,1,0,0,15:56:17,25.6887890625,157864,29.971331295434002,1002.3799807127449,90.8959645682329
124,0,48,6,5,1,0,0,15:56:18,25.685859375,159209,30.03185279567727,1002.3817945035934,90.8807310711168
125,0,48,6,5,1,0,0,15:56:19,25.689375,158161,30.098478988757826,1002.3844227186145,90.85865750395115
126,0,48,6,5,1,0,0,15:56:20,25.6942578125,159059,30.14866207066089,1002.3928396493374,90.78796661475509
127,0,48,6,5,1,0,0,15:56:21,25.7008984375,158758,30.19348215080524,1002.3905585445896,90.807124776879
128,0,48,6,5,1,0,0,15:56:22,25.7083203125,159059,30.254987745346043,1002.3930559651287,90.78614985959724
129,0,48,6,5,1,0,0,15:56:23,25.7169140625,157568,30.30554842705691,1002.3958571622966,90.76262368439878
130,0,48,6,5,1,0,0,15:56:24,25.723359375,159360,30.350404808110408,1002.3915225896002,90.79902811211318
131,0,33,5,5,1,0,0,15:56:25,25.726875,159815,30.389483375412134,1002.3958665163525,90.76254512337577
132,0,33,5,5,1,0,0,15:56:27,25.732734375,159967,30.41215132530452,1002.3939538115187,90.7786091880745
133,0,33,5,5,1,0,0,15:56:28,25.738984375,158908,30.434857099096146,1002.3892819980842,90.81784603817128
134,0,24,5,5,1,0,0,15:56:29,25.740546875,159511,30.479335204150207,1002.3868269084186,90.83846549651065
135,0,24,5,5,1,0,0,15:56:30,25.7462109375,160731,30.507546835527627,1002.3931577768282,90.78529478144807
136,0,24,5,5,1,0,0,15:56:31,25.7555859375,159815,30.530540045448042,1002.3938719886182,90.7792963873747
137,0,24,5,5,1,0,0,15:56:32,25.7665234375,160578,30.548126390922576,1002.397279062803,90.75068171053388
138,0,24,5,5,1,0,0,15:56:33,25.76828125,159967,30.581562781244806,1002.3985927509124,90.73964858151376
139,0,24,5,5,1,0,0,15:56:34,25.7751171875,159815,30.59880091455706,1002.401794565067,90.71275790329447
140,0,24,5,5,1,0,0,15:56:35,25.78078125,161348,30.615939817048066,1002.3909626880409,90.80373052168899
141,0,24,5,5,1,0,0,15:56:36,25.79171875,160885,30.627989110384313,1002.3960848837149,90.76071114232619
142,0,24,5,5,1,0,0,15:56:37,25.8048046875,161659,30.651328308472856,1002.4014771991481,90.71542332185231
143,0,24,5,5,1,0,0,15:56:38,25.8114453125,161970,30.651905555775805,1002.4026251570959,90.70578212470895
144,0,24,5,5,1,0,0,15:56:39,25.80421875,161503,30.65127737673242,1002.4021835700557,90.70949082022575
145,0,24,5,5,1,0,0,15:56:40,25.792890625,161659,30.633641041051924,1002.3929559538508,90.78698981675224
146,0,24,5,5,1,0,0,15:56:41,25.7876171875,162912,30.616533358680094,1002.397596608418,90.74801477374527
147,0,24,5,5,1,0,0,15:56:42,25.7860546875,162912,30.59975011395057,1002.3983359310789,90.74180550531615
148,0,24,5,5,1,0,0,15:56:43,25.7907421875,162597,30.577962941621458,1002.3892528745258,90.81809063673776
149,0,9,0,0,0,0,0,15:56:44,25.792890625,162597,30.561505968163132,1002.3826583532235,90.87347585939752
150,0,9,0,0,0,0,0,15:56:45,25.793671875,164185,30.53383906719591,1002.3874374531661,90.83333773619401
151,0,9,0,0,0,0,0,15:56:46,25.79171875,163865,30.539216327735485,1002.3875035643792,90.83278249046606
152,0,96,1,0,0,0,0,15:56:47,25.785078125,163546,30.53864094661475,1002.3812064789348,90.88566971523393
153,0,96,1,0,0,0,0,15:56:48,25.782734375,164345,30.5550782296157,1002.3823154859019,90.87635549770265
154,0,96,1,0,0,0,0,15:56:49,25.78234375,163070,30.560591578135778,1002.3730610083834,90.95408133971976
155,0,96,1,0,0,0,0,15:56:50,25.788203125,164345,30.572194775997193,1002.3642814725786,91.02781881242409
156,0,96,1,0,0,0,0,15:56:51,25.7954296875,164506,30.589466240753588,1002.3458441476938,91.18267172443194
157,0,96,1,0,0,0,0,15:56:52,25.79953125,164828,30.606468960723376,1002.308290033291,91.49809142479414
158,0,96,1,0,0,0,0,15:56:53,25.799140625,164990,30.61198441333558,1002.2475471052193,92.00829589122962
159,0,96,1,0,0,0,0,15:56:54,25.7954296875,165477,30.611662211687182,1002.1965289356737,92.43683751625174
160,0,96,1,0,0,0,0,15:56:55,25.7973828125,164990,30.617381345890294,1002.1312441100289,92.98524174142366
161,0,96,1,0,0,0,0,15:56:56,25.7989453125,165152,30.623066822999043,1002.0618534089031,93.56816777052103
162,0,96,1,0,0,0,0,15:56:57,25.799140625,164990,30.634184019340914,1001.9952557014143,94.127661615062
163,0,96,1,0,0,0,0,15:56:58,25.797578125,168462,30.628498068259603,1001.92391339761,94.72704868186065
164,0,96,1,0,0,0,0,15:56:59,25.8001171875,165804,30.639819314538315,1001.8459074830458,95.38246006494663
165,0,96,1,0,0,0,0,15:57:00,25.80578125,166625,30.62921065952541,1001.7629866288813,96.07921243823598
166,0,96,1,0,0,0,0,15:57:01,25.813203125,166625,30.629855435459973,1001.679659551288,96.77942519600029
167,0,96,1,0,0,0,0,15:57:02,25.8208203125,166791,30.630517229068438,1001.6018158049886,97.43360312452165
168,0,96,1,0,0,0,0,15:57:03,25.8298046875,166791,30.61464727526823,1001.5366225527526,97.98150137608158
169,0,96,1,0,0,0,0,15:57:04,25.8378125,167622,30.6042432732776,1001.485192582559,98.41375039271146
170,0,96,1,0,0,0,0,15:57:05,25.8471875,167789,30.605057377927956,1001.4412644630777,98.78296348660538
171,0,96,1,0,0,0,0,15:57:06,25.8555859375,168462,30.594687601697103,1001.4093842166922,99.05092317340386
172,0,96,1,0,0,0,0,15:57:07,25.8512890625,168800,30.57211906262257,1001.3831053524337,99.27180734476511
173,0,96,1,0,0,0,0,15:57:08,25.8409375,169823,30.532388083925785,1001.3721465999666,99.36392134847227
174,0,96,1,0,0,0,0,15:57:09,25.822578125,172259,30.46979799901683,1001.359413261823,99.47095269127952
