time,concentration,particles03,particles05,particles10,particles25,particles50,particles100,['Time'],['Temperature'],['Gas'],['Relative Humidity'],['Pressure'],['Altitude']
82,2,297,65,13,3,0,0,15:04:15,23.0247265625,115997,42.88365374825722,1008.3443015363295,40.92358527163598
83,2,297,65,13,3,0,0,15:04:16,23.0508984375,116888,42.5874215827282,1008.3259635541974,41.076863794542255
84,2,297,65,13,3,0,0,15:04:17,23.0700390625,118041,42.36851178049902,1008.3199972070884,41.126734155936205
85,1,273,60,12,2,0,0,15:04:18,23.077265625,118291,42.1843422295514,1008.3165501103264,41.15554719813513
86,1,273,60,12,2,0,0,15:04:19,23.0864453125,119814,41.94103181035301,1008.3111942721848,41.20031488133641
87,1,273,60,12,2,0,0,15:04:20,23.098359375,120158,41.75189701835038,1008.3017892505661,41.27892881861463
88,1,264,59,12,2,0,0,15:04:21,23.1044140625,121114,41.597984897848725,1008.3015510764844,41.280919656656465
89,1,264,59,12,2,0,0,15:04:22,23.0973828125,121996,41.48435189782648,1008.3104871011998,41.206225904571234
90,1,264,59,12,2,0,0,15:04:23,23.0899609375,123799,41.36482384463209,1008.3153304069511,41.165742279125666
91,1,294,64,12,2,0,0,15:04:24,23.0778515625,124258,41.27452683637218,1008.3226884879767,41.10423876226306
92,1,294,64,12,2,0,0,15:04:25,23.0606640625,124628,41.2015148719832,1008.3284681022288,41.05592932855126
93,1,294,64,12,2,0,0,15:04:26,23.0301953125,125187,41.115253859180896,1008.3258834132184,41.07753366004915
94,1,294,66,12,2,0,0,15:04:27,22.9977734375,127086,41.04659934489804,1008.3217611594556,41.1119899432921
95,1,294,66,12,2,0,0,15:04:28,22.9438671875,127376,40.96382895447609,1008.3317285501236,41.028676675885016
96,1,294,66,12,2,0,0,15:04:29,22.8805859375,127863,40.915597774915675,1008.3415409473545,40.946659585425536
97,2,303,66,13,2,0,0,15:04:30,22.8192578125,128846,40.87942976176905,1008.3494283623814,40.880732960221486
98,2,303,66,13,2,0,0,15:04:31,22.741328125,130249,40.859233606215604,1008.3451071006988,40.916851991675436
99,2,303,66,13,2,0,0,15:04:32,22.6501171875,131786,40.819893466334676,1008.3358185689259,40.9944901050671
100,1,327,70,11,1,0,0,15:04:33,22.555,132726,40.8274317801775,1008.3303000047722,41.04061725058787
101,0,327,70,11,1,0,0,15:04:34,22.481171875,132306,40.85498338964564,1008.332728857803,41.0203155574191
102,0,327,70,11,1,0,0,15:04:35,22.4173046875,133573,40.924983809639386,1008.350021625173,40.87577421513095
103,0,312,65,10,1,0,0,15:04:36,22.3380078125,134215,40.96378302572957,1008.3553150749634,40.83152939397278
104,0,312,65,10,1,0,0,15:04:37,22.25578125,134972,41.03775837601336,1008.3694421182031,40.713450701851755
105,0,312,65,10,1,0,0,15:04:38,22.1743359375,135518,41.09408973512687,1008.3710916638454,40.699663318677864
106,0,198,38,3,0,0,0,15:04:39,22.09640625,136846,41.1981577548237,1008.3802932184418,40.622754378975415
107,0,198,38,3,0,0,0,15:04:40,22.013984375,136512,41.32548217773697,1008.3785362336046,40.63743966237724
108,0,198,38,3,0,0,0,15:04:41,21.9425,135628,41.495558420479966,1008.3709477095227,40.700866530127065
109,0,222,44,6,0,0,0,15:04:42,21.8751171875,137070,41.719645694739754,1008.3684633522416,40.72163152161634
110,0,222,44,6,0,0,0,15:04:43,21.8044140625,136846,41.907981049805464,1008.3690062874734,40.71709350514815
111,0,222,44,6,0,0,0,15:04:44,21.7301953125,137183,42.17942380379934,1008.3688121443597,40.71871621163565
112,0,216,44,6,0,0,0,15:04:45,21.65109375,139235,42.420926519811104,1008.3638792340541,40.759947043300706
113,0,216,44,6,0,0,0,15:04:46,21.5633984375,139583,42.63195363136462,1008.3514445326297,40.863880953410074
114,0,216,44,6,0,0,0,15:04:47,21.4753125,139467,42.819269440329286,1008.3554918857926,40.83005153989657
115,1,249,49,7,0,0,0,15:04:48,21.3950390625,141112,42.98370728768133,1008.3536655185692,40.845317041683664
